Index,Value
883,56
884,78
885,44
886,95
887,78
888,33
889,89
890,4
891,11
892,24
893,80
894,77
895,24
896,87
897,25
898,44
899,58
900,51
901,37
902,20
903,92
904,30
905,93
906,75
907,27
908,24
909,62
910,44
911,17
912,83
913,1
914,73
915,26
916,62
917,49
918,38
919,87
920,20
921,97
922,56
923,8
924,27
925,82
926,85
927,38
928,49
929,65
930,6
931,56
932,55
933,34
934,94
935,11
936,9
937,30
938,10
939,51
940,68
941,96
942,30
943,58
944,19
945,25
946,3
947,6
948,82
949,93
950,36
951,30
952,53
953,26
954,40
955,92
956,75
957,64
958,60
959,42
960,1
961,16
962,62
963,32
964,33
965,42
966,55
967,9
968,20
969,77
970,46
971,59
972,63
973,34
974,61
975,95
976,57
977,84
978,61
979,21
980,44
981,15
982,95
983,59
984,18
985,66
986,40
987,75
988,64
989,36
990,59
991,87
992,89
993,55
994,98
995,61
996,6
997,41
998,46
999,79
