Index,Value
563,75
564,28
565,80
566,20
567,64
568,77
569,71
570,37
571,86
572,72
573,26
574,38
575,50
576,69
577,68
578,22
579,96
580,76
581,48
582,88
583,61
584,38
585,47
586,81
587,11
588,7
589,71
590,66
591,25
592,94
593,8
594,57
595,76
596,35
597,59
598,53
599,8
600,35
601,36
602,54
603,53
604,44
605,23
606,61
607,36
608,68
609,30
610,59
611,36
612,65
613,68
614,72
615,39
616,84
617,96
618,93
619,80
620,93
621,69
622,4
623,99
624,69
625,19
626,24
627,64
628,59
629,51
630,88
631,23
632,94
633,18
634,72
635,99
636,20
637,52
638,37
639,34
640,30
641,30
642,38
643,3
644,5
645,75
646,36
647,56
648,77
649,3
650,30
651,96
652,84
653,18
654,56
655,24
656,72
657,84
658,51
659,12
660,44
661,82
662,93
663,26
664,96
665,36
666,26
667,14
668,27
669,28
670,16
671,55
672,68
673,29
674,65
675,73
676,84
677,45
678,92
679,17
680,36
681,39
682,50
683,37
684,41
685,8
686,95
687,37
688,65
689,80
690,44
691,14
692,19
693,15
694,18
695,48
696,59
697,97
698,15
699,89
700,44
701,38
702,19
703,9
704,53
705,81
706,21
707,5
708,42
709,56
710,29
711,58
712,21
713,73
714,45
715,34
716,75
717,58
718,36
719,47
720,43
721,92
722,35
723,84
724,57
725,91
726,0
727,4
728,65
729,45
730,37
731,33
732,7
733,69
734,94
735,96
736,96
737,13
738,14
739,47
740,65
741,86
742,90
743,93
744,29
745,14
746,82
747,14
748,36
749,19
750,68
751,25
752,48
753,26
754,95
755,57
756,11
757,23
758,55
759,47
760,33
761,77
762,71
763,87
764,71
765,11
766,51
767,69
768,44
769,44
770,11
771,66
772,98
773,19
774,97
775,66
776,75
777,10
778,75
779,68
780,57
781,98
782,91
783,97
784,39
785,89
786,45
787,80
788,61
789,88
790,64
791,10
792,90
793,41
794,75
795,12
796,52
797,99
798,66
799,96
800,62
801,66
802,39
803,44
804,43
805,88
806,37
807,0
808,12
809,8
810,91
811,49
812,90
813,78
814,18
815,63
816,3
817,23
818,43
819,95
820,50
821,69
822,72
823,11
824,63
825,29
826,66
827,43
828,24
829,47
830,18
831,87
832,66
833,30
834,30
835,12
836,8
837,48
838,7
839,94
840,95
841,65
842,55
843,37
844,2
845,37
846,23
847,81
848,6
849,45
850,14
851,43
852,74
853,22
854,18
855,41
856,77
857,23
858,18
859,95
860,42
861,66
862,12
863,75
864,29
865,19
866,2
867,14
868,58
869,86
870,62
871,95
872,30
873,55
874,95
875,32
876,63
877,33
878,60
879,94
880,3
881,61
882,36
883,90
884,25
885,12
886,40
887,98
888,94
889,32
890,10
891,53
892,17
893,3
894,32
895,58
896,84
897,44
898,31
899,90
900,29
901,88
902,57
903,46
904,30
905,82
906,91
907,31
908,76
909,37
910,63
911,83
912,59
913,37
914,66
915,53
916,61
917,77
918,20
919,39
920,77
921,39
922,9
923,91
924,22
925,26
926,26
927,14
928,88
929,72
930,87
931,91
932,80
933,21
934,51
935,78
936,18
937,39
938,50
939,23
940,40
941,6
942,96
943,24
944,70
945,9
946,44
947,95
948,19
949,96
950,87
951,13
952,27
953,34
954,94
955,92
956,79
957,83
958,90
959,80
960,59
961,65
962,83
963,69
964,62
965,41
966,62
967,65
968,84
969,69
970,82
971,76
972,78
973,78
974,73
975,30
976,64
977,40
978,66
979,55
980,9
981,55
982,70
983,16
984,28
985,35
986,2
987,28
988,94
989,50
990,54
991,67
992,82
993,63
994,12
995,99
996,40
997,86
998,67
999,55
