Index,Value
428,54
429,44
430,85
431,45
432,51
433,91
434,78
435,89
436,45
437,69
438,70
439,54
440,63
441,59
442,0
443,45
444,26
445,47
446,39
447,86
448,47
449,49
450,18
451,23
452,35
453,15
454,84
455,41
456,39
457,0
458,37
459,76
460,64
461,6
462,58
463,9
464,32
465,39
466,32
467,20
468,66
469,78
470,74
471,42
472,19
473,32
474,54
475,77
476,63
477,16
478,51
479,51
480,99
481,62
482,25
483,31
484,51
485,94
486,36
487,22
488,27
489,48
490,25
491,2
492,29
493,34
494,80
495,96
496,20
497,73
498,74
499,29
500,2
501,46
502,48
503,7
504,57
505,25
506,38
507,86
508,81
509,43
510,7
511,56
512,97
513,41
514,63
515,45
516,59
517,91
518,36
519,6
520,43
521,0
522,87
523,47
524,10
525,30
526,58
527,12
528,50
529,3
530,63
531,82
532,53
533,56
534,94
535,41
536,22
537,38
538,43
539,18
540,55
541,22
542,42
543,69
544,48
545,99
546,11
547,61
548,19
549,4
550,47
551,89
552,27
553,62
554,64
555,14
556,19
557,19
558,27
559,46
560,96
561,14
562,67
563,58
564,31
565,93
566,66
567,94
568,23
569,59
570,9
571,63
572,96
573,1
574,96
575,21
576,33
577,88
578,84
579,52
580,45
581,97
582,77
583,2
584,60
585,10
586,38
587,72
588,51
589,52
590,28
591,21
592,91
593,89
594,41
595,30
596,72
597,19
598,25
599,64
600,65
601,74
602,11
603,83
604,50
605,59
606,78
607,87
608,35
609,76
610,97
611,0
612,18
613,71
614,13
615,70
616,66
617,96
618,42
619,87
620,82
621,33
622,30
623,54
624,25
625,90
626,96
627,73
628,94
629,0
630,47
631,1
632,90
633,39
634,71
635,55
636,13
637,14
638,76
639,69
640,7
641,98
642,31
643,64
644,71
645,42
646,3
647,60
648,66
649,65
650,74
651,61
652,12
653,13
654,33
655,25
656,30
657,28
658,96
659,29
660,30
661,99
662,61
663,34
664,10
665,63
666,32
667,11
668,59
669,65
670,73
671,98
672,13
673,37
674,23
675,27
676,12
677,13
678,12
679,78
680,99
681,50
682,93
683,43
684,44
685,50
686,47
687,29
688,9
689,98
690,40
691,28
692,40
693,52
694,83
695,51
696,22
697,25
698,25
699,36
700,60
701,76
702,20
703,7
704,4
705,29
706,44
707,9
708,75
709,66
710,30
711,32
712,97
713,98
714,10
715,62
716,95
717,17
718,83
719,49
720,83
721,79
722,66
723,49
724,18
725,11
726,73
727,26
728,21
729,29
730,28
731,35
732,87
733,76
734,30
735,58
736,97
737,88
738,30
739,99
740,66
741,37
742,66
743,89
744,3
745,26
746,12
747,66
748,71
749,52
750,8
751,11
752,99
753,58
754,9
755,48
756,85
757,77
758,74
759,37
760,93
761,4
762,67
763,9
764,70
765,40
766,50
767,16
768,67
769,1
770,15
771,87
772,1
773,13
774,28
775,96
776,58
777,97
778,73
779,3
780,85
781,93
782,59
783,97
784,4
785,36
786,63
787,12
788,44
789,47
790,91
791,48
792,31
793,8
794,66
795,3
796,8
797,26
798,26
799,76
800,25
801,96
802,46
803,8
804,63
805,58
806,16
807,27
808,0
809,29
810,57
811,21
812,16
813,35
814,79
815,97
816,42
817,70
818,41
819,57
820,72
821,99
822,25
823,83
824,72
825,91
826,74
827,5
828,54
829,48
830,29
831,25
832,12
833,27
834,85
835,26
836,40
837,10
838,22
839,24
840,16
841,7
842,61
843,83
844,7
845,55
846,8
847,69
848,39
849,93
850,41
851,72
852,57
853,54
854,41
855,40
856,74
857,21
858,30
859,86
860,68
861,65
862,41
863,24
864,78
865,30
866,18
867,64
868,35
869,7
870,39
871,14
872,94
873,74
874,6
875,67
876,16
877,25
878,78
879,58
880,25
881,19
882,38
883,86
884,67
885,69
886,90
887,44
888,99
889,0
890,75
891,26
892,56
893,74
894,40
895,66
896,89
897,87
898,66
899,66
900,37
901,55
902,94
903,63
904,10
905,45
906,50
907,54
908,11
909,89
910,54
911,77
912,81
913,77
914,74
915,73
916,22
917,95
918,66
919,53
920,35
921,29
922,35
923,69
924,54
925,68
926,80
927,31
928,96
929,59
930,40
931,89
932,83
933,37
934,44
935,45
936,44
937,68
938,59
939,24
940,61
941,65
942,8
943,63
944,68
945,17
946,58
947,67
948,63
949,26
950,62
951,73
952,35
953,28
954,64
955,95
956,27
957,12
958,57
959,30
960,30
961,28
962,15
963,27
964,20
965,37
966,74
967,89
968,97
969,56
970,37
971,16
972,60
973,60
974,98
975,1
976,11
977,69
978,56
979,18
980,1
981,68
982,50
983,32
984,73
985,6
986,86
987,65
988,97
989,85
990,85
991,80
992,19
993,56
994,12
995,44
996,18
997,24
998,37
999,93
